selector,rules,earlierOnly,conflictCount,conflicts,classification
".selection-hero","2","display|justify-content|gap|padding|border-radius|background","6","display:.selection-hero>div:last-child | .selection-hero span b,.selection-subject-summary b | .selection-kpi-grid | .selection-kpi-grid small,.selection-kpi-grid span | .selection-kpi-grid b | .selection-section>header | .selection-error-group article | .selection-subject-summary | .selection-roster-head,.selection-roster article | .dorm-badge | .selection-message-list | .selection-message-list article header || justify-content:.selection-section>header | .selection-message-list article header || gap:.selection-hero>div:last-child | .selection-kpi-grid | .selection-section>header | .selection-error-group article | .selection-subject-summary | .selection-roster-head,.selection-roster article | .selection-message-list || padding:.selection-hero span,.selection-subject-summary span | .selection-kpi-grid button | .selection-section | .selection-section select | .selection-error-group h4 | .selection-error-group article | .selection-roster-head,.selection-roster article | .dorm-badge | .selection-estimate-note | .selection-message-list article | .selection-message-list textarea | .standalone-feature-head || border-radius:.selection-hero span,.selection-subject-summary span | .selection-kpi-grid button | .selection-section | .selection-section select | .selection-error-group h4 | .selection-roster-head | .dorm-badge | .selection-estimate-note | .selection-message-list article | .selection-message-list textarea | .standalone-feature-head || background:.selection-hero span,.selection-subject-summary span | .selection-kpi-grid button | .selection-section | .selection-error-group h4 | .selection-roster-head | .dorm-badge | .selection-estimate-note | .standalone-feature-head","MANUAL_VISUAL_REVIEW"
".selection-section>header","2","display|justify-content|gap","3","display:.selection-error-group article | .selection-subject-summary | .selection-roster-head,.selection-roster article | .dorm-badge | .selection-message-list | .selection-message-list article header || justify-content:.selection-message-list article header || gap:.selection-error-group article | .selection-subject-summary | .selection-roster-head,.selection-roster article | .selection-message-list","MANUAL_VISUAL_REVIEW"
".selection-section select","2","padding|border|border-radius","3","padding:.selection-error-group h4 | .selection-error-group article | .selection-roster-head,.selection-roster article | .dorm-badge | .selection-estimate-note | .selection-message-list article | .selection-message-list textarea | .standalone-feature-head || border:.selection-message-list article | .selection-message-list textarea || border-radius:.selection-error-group h4 | .selection-roster-head | .dorm-badge | .selection-estimate-note | .selection-message-list article | .selection-message-list textarea | .standalone-feature-head","MANUAL_VISUAL_REVIEW"
".selection-roster-head,.selection-roster article","2","display|gap|align-items|padding","4","display:.dorm-badge | .selection-message-list | .selection-message-list article header || gap:.selection-message-list || align-items:.selection-section>header || padding:.dorm-badge | .selection-estimate-note | .selection-message-list article | .selection-message-list textarea | .standalone-feature-head","MANUAL_VISUAL_REVIEW"
".curriculum-filter-bar .record-class-cards","3","flex|order|display|gap","4","flex:/* __UEP_REFINEMENT_STYLE_08107__ */
.curriculum-query-top | .curriculum-filter-bar .uep-student-picker || order:/* __UEP_REFINEMENT_STYLE_08107__ */
.curriculum-query-top | .curriculum-filter-bar>label,.curriculum-filter-bar>[data-curriculum-error-only] | .curriculum-filter-bar .uep-student-picker || display:.curriculum-class-head,.curriculum-class-list>button | .selection-error-count | .uep-student-picker | .uep-picker-main small,.uep-picker-main b | .uep-picker-menu button | .curriculum-student-detail>header,.subject-roster-detail>header | .term-picker-cards | .term-picker-cards b,.term-picker-cards span,.subject-card-grid small,.subject-card-grid b,.subject-card-grid span | .subject-card-grid | .subject-risk | .roster-sort | .neis-filter-report | .neis-filter-report label | .neis-decision-actions | body.printing-neis-report #sidebar,body.printing-neis-report #topbar,body.printing-neis-report .standalone-feature-head,body.printing-neis-report .neis-record-validator>header,body.printing-neis-report .neis-local-lock,body.printing-neis-report .neis-filter-report | .curriculum-term-grid-four | .roster-six-columns .selection-roster-head,.roster-six-columns article | .expected-grade-cell | .neis-rule-modal | .neis-rule-modal header || gap:.curriculum-class-head,.curriculum-class-list>button | .uep-student-picker | .term-picker-cards | .subject-card-grid | .roster-sort | .neis-filter-report | .neis-filter-report label | .neis-decision-actions | .curriculum-term-grid-four | .roster-six-columns .selection-roster-head,.roster-six-columns article | .neis-rule-modal header | .neis-rule-list | .neis-rule-list article | .neis-rule-modal footer","MANUAL_VISUAL_REVIEW"
".term-picker-cards","2","display|gap|margin","3","display:.term-picker-cards b,.term-picker-cards span,.subject-card-grid small,.subject-card-grid b,.subject-card-grid span | .subject-card-grid | .subject-risk | .roster-sort | .neis-filter-report | .neis-filter-report label | .neis-decision-actions || gap:.subject-card-grid | .roster-sort | .neis-filter-report | .neis-filter-report label | .neis-decision-actions || margin:.neis-filter-report","MANUAL_VISUAL_REVIEW"
".subject-card-grid","2","display|gap","2","display:.roster-sort | .neis-filter-report | .neis-filter-report label | .neis-decision-actions || gap:.roster-sort | .neis-filter-report | .neis-filter-report label | .neis-decision-actions","MANUAL_VISUAL_REVIEW"
".neis-decision-actions","2","gap|margin-top","0","","SAFE_MOVE_TO_FINAL"
".curriculum-term-grid-four","3","display|gap|align-items","3","display:.roster-six-columns .selection-roster-head,.roster-six-columns article | .expected-grade-cell | .neis-rule-modal | .neis-rule-modal header | .neis-rule-list | .neis-rule-list article | .neis-rule-modal footer || gap:.roster-six-columns .selection-roster-head,.roster-six-columns article | .neis-rule-modal header | .neis-rule-list | .neis-rule-list article | .neis-rule-modal footer || align-items:.roster-six-columns .selection-roster-head,.roster-six-columns article","MANUAL_VISUAL_REVIEW"
".roster-six-columns .selection-roster-head,.roster-six-columns article","2","display|align-items|gap","2","display:.neis-rule-modal | .neis-rule-modal header | .neis-rule-list | .neis-rule-list article | .neis-rule-modal footer || gap:.neis-rule-modal header | .neis-rule-list | .neis-rule-list article | .neis-rule-modal footer","MANUAL_VISUAL_REVIEW"
".neis-rule-list article","2","display|gap","2","display:.neis-rule-modal footer || gap:.neis-rule-modal footer","MANUAL_VISUAL_REVIEW"
