selector,context,count,classification,lines
".input-method-row","root","3","OVERRIDE_CONFLICT","6|51|97"
".input-method-row>b","root","3","OVERRIDE_CONFLICT","7|59|97"
".input-center-compact-setup label","root","3","OVERRIDE_CONFLICT","11|24|94"
".dashboard-report-program-row","root","2","OVERRIDE_CONFLICT","106|114"
".growth-sdg-detail article","root","2","OVERRIDE_CONFLICT","202|211"
".curriculum-filter-bar .record-class-cards","root","2","OVERRIDE_CONFLICT","278|282"
