name,kind,line,refs,hash,chars,class,note
"dashboardStudentStatusMarkup","declaration","7798","1","22df3b57307e","2465","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"workItemReadByCurrentUser","declaration","7954","1","2da4ab4b18e2","135","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"dashboardTopAlertsMarkup","declaration","8012","1","78efbc5344c6","619","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"completionStatusMarkup","declaration","8065","1","8da24993d355","882","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"openStudentCounselEdit","declaration","8260","1","5afb6dd8820d","631","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"todayProgramsMarkup","declaration","8393","1","fc7ca7903da3","1181","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"canRevealStudentSensitiveInfo","declaration","8433","1","fa733b95dcb3","149","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"signalRowsForStudent","declaration","8439","1","0d2966735d73","521","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"openMealDutyDrawer","declaration","8452","1","58fd01eafdb8","2118","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"retryGoogleConnection","declaration","9108","1","d22fa650e692","762","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"openStudentTimetableDrawer","declaration","9204","1","24a37675232c","486","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"studentActivityOverview","declaration","9216","1","37239fc1cc89","1475","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"sortUniversitiesByPriority","declaration","9354","1","e3670f17130d","178","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"admissionPairCompatible","declaration","9424","1","8df12ec10187","92","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"studentStatsRankCard","declaration","9554","1","8c12e5cc3b68","809","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"sendProgramEmailNotice","declaration","10963","1","f78335818166","567","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"prepareProgramSmsNotice","declaration","10971","1","8006a152481e","386","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"openProgramAttendanceQr","declaration","10976","1","28338203bcd6","917","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"copyProgramRiroNotice","declaration","11021","1","52477ba12da2","259","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"copyProgramIndividualNotices","declaration","11025","1","01c410e0e131","414","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"copyProgramFamilyLetter","declaration","11036","1","46ba8b78d248","194","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"uepCompareSelectionHistory","declaration","12355","1","3a1a2cf69b2b","1272","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"uepSchoolGrowthGapSummary","declaration","12447","1","ad76c9a5448d","298","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"bindSelectionAnalysis","declaration","12592","1","3a83e29f05fd","2496","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
